mouse ,status ,cohort,removal ,winsafter,totalagg,prop,p_of_agg_acts,lossesafter,pctloss,desp,winsbefore,lossesbefore
75-10,nonriser,75,2,0,0,0,0,0,0,0.484,8,2
75-7,nonriser,75,4,9,30.99999793,0.2903226,29.03226,4,0.129032267,0.622,2,0
75-9,nonriser,75,6,4,12.0000012,0.3333333,33.33333,0,0,0.321,2,0
76-4,nonriser,76,5,4,18.0000018,0.2222222,22.22222,1,0,0.455,6,0
76-5,nonriser,76,1,15,23.00000046,0.6521739,65.21739,7,0.30434782,0.412,0,7
76-8,nonriser,76,3,3,37.99999924,0.07894737,7.894737,8,0.21052632,0.333,0,0
77-3,nonriser,77,2,3,12,0.25,25,0,0,0.319,0,0
77-7,nonriser,77,6,2,8,0.25,25,0,0,0.676,7,1
77-9,nonriser,77,4,0,0,0,0,0,0,0.583,0,3
78-12,nonriser,78,3,0,0,0,0,0,0,0.968,1,0
78-3,nonriser,78,5,1,8,0.125,12.5,1,0.125,0.877,0,0
78-9,nonriser,78,1,0,0,0.1176471,11.76471,0,0,0.947,0,1
75-3,riser,75,3,9,27.0000027,0.3333333,33.33333,0,0,0.55,10,1
75-5,riser,75,5,30,33.00000033,0.9090909,90.90909,0,0,0.64,9,2
75-6,riser,75,1,12,20,0.6,60,0,0,0.639,4,3
76-11,riser,76,2,30,60.99999736,0.4918033,49.18033,2,0.032786887,0.489,2,1
76-3,riser,76,6,16,18.99999917,0.8421053,84.21053,0,0,0.632,2,0
76-6,riser,76,4,21,21,1,100,0,0,0.629,2,1
77-12,riser,77,1,18,22.99999987,0.7826087,78.26087,0,0,0.575,5,2
77-5,riser,77,5,32,35.00000055,0.9142857,91.42857,0,0,0.596,0,1
77-6,riser,77,3,14,22.99999819,0.6086957,60.86957,0,0,0.462,0,0
78-11,riser,77,6,19,28.00000118,0.6785714,67.85714,1,0.035714284,0.783,3,0
78-2,riser,78,4,15,30,0.5,50,1,0.033333333,0.952,0,2
78-5,riser,78,2,5,7.00000014,0.7142857,71.42857,0,0,0.585,0,4
