mouse ,status ,count,countx,side,brain_region,cohort,removal ,wins,totalagg,prop,p_of_agg_acts,losses,pctloss,desp
76-5,nonriser,29,42,L,AH,76,1,15,23.00000046,0.6521739,65.21739,7,0.30434782,0.412
76-5,nonriser,29,16,R,AH,76,1,15,23.00000046,0.6521739,65.21739,7,0.30434782,0.412
77-12,riser,41,39,L,AH,77,1,18,22.99999987,0.7826087,78.26087,0,0,0.575
77-12,riser,41,43,R,AH,77,1,18,22.99999987,0.7826087,78.26087,0,0,0.575
78-9,nonriser,15.5,18,L,AH,78,1,0,0,0.1176471,11.76471,0,0,0.947
78-9,nonriser,15.5,13,R,AH,78,1,0,0,0.1176471,11.76471,0,0,0.947
76-11,riser,106.5,66,L,AH,76,2,30,60.99999736,0.4918033,49.18033,2,0.032786887,0.489
76-11,riser,106.5,147,R,AH,76,2,30,60.99999736,0.4918033,49.18033,2,0.032786887,0.489
77-3,nonriser,57.5,57,L,AH,77,2,3,12,0.25,25,0,0,0.319
77-3,nonriser,57.5,58,R,AH,77,2,3,12,0.25,25,0,0,0.319
78-5,riser,54.5,13,L,AH,78,2,5,7.00000014,0.7142857,71.42857,0,0,0.585
78-5,riser,54.5,96,R,AH,78,2,5,7.00000014,0.7142857,71.42857,0,0,0.585
75-3,riser,144.5,110,L,AH,75,3,9,27.0000027,0.3333333,33.33333,0,0,0.55
75-3,riser,144.5,179,R,AH,75,3,9,27.0000027,0.3333333,33.33333,0,0,0.55
76-8,nonriser,92.5,74,L,AH,76,3,3,37.99999924,0.07894737,7.894737,8,0.21052632,0.333
76-8,nonriser,92.5,111,R,AH,76,3,3,37.99999924,0.07894737,7.894737,8,0.21052632,0.333
77-6,riser,93,84,L,AH,77,3,14,22.99999819,0.6086957,60.86957,0,0,0.462
77-6,riser,93,102,R,AH,77,3,14,22.99999819,0.6086957,60.86957,0,0,0.462
78-12,nonriser,49.5,73,L,AH,78,3,0,0,0,0,0,0,0.968
78-12,nonriser,49.5,26,R,AH,78,3,0,0,0,0,0,0,0.968
75-7,nonriser,55.5,76,L,AH,75,4,9,30.99999793,0.2903226,29.03226,4,0.129032267,0.622
75-7,nonriser,55.5,35,R,AH,75,4,9,30.99999793,0.2903226,29.03226,4,0.129032267,0.622
76-6,riser,66,57,L,AH,76,4,21,21,1,100,0,0,0.629
76-6,riser,66,75,R,AH,76,4,21,21,1,100,0,0,0.629
77-9,nonriser,60.5,22,L,AH,77,4,0,0,0,0,0,0,0.583
77-9,nonriser,60.5,99,R,AH,77,4,0,0,0,0,0,0,0.583
78-2,riser,157,155,L,AH,78,4,15,30,0.5,50,1,0.033333333,0.952
78-2,riser,157,159,R,AH,78,4,15,30,0.5,50,1,0.033333333,0.952
75-5,riser,35.5,26,L,AH,75,5,30,33.00000033,0.9090909,90.90909,0,0,0.64
75-5,riser,35.5,45,R,AH,75,5,30,33.00000033,0.9090909,90.90909,0,0,0.64
76-4,nonriser,25,20,L,AH,76,5,4,18.0000018,0.2222222,22.22222,1,0,0.455
76-4,nonriser,25,30,R,AH,76,5,4,18.0000018,0.2222222,22.22222,1,0,0.455
77-5,riser,41,41,L,AH,77,5,32,35.00000055,0.9142857,91.42857,0,0,0.596
75-9,nonriser,5.5,6,L,AH,75,6,4,12.0000012,0.3333333,33.33333,0,0,0.321
75-9,nonriser,5.5,5,R,AH,75,6,4,12.0000012,0.3333333,33.33333,0,0,0.321
76-3,riser,2,3,L,AH,76,6,16,18.99999917,0.8421053,84.21053,0,0,0.632
76-3,riser,2,1,R,AH,76,6,16,18.99999917,0.8421053,84.21053,0,0,0.632
77-7,nonriser,2,1,L,AH,77,6,2,8,0.25,25,0,0,0.676
77-7,nonriser,2,3,R,AH,77,6,2,8,0.25,25,0,0,0.676
78-11,riser,4.5,3,L,AH,78,6,19,28.00000118,0.6785714,67.85714,1,0.035714284,0.783
78-11,riser,4.5,6,R,AH,78,6,19,28.00000118,0.6785714,67.85714,1,0.035714284,0.783
75-6,riser,60,60,R,ARC,75,1,12,20,0.6,60,0,0,0.639
76-5,nonriser,6.5,4,L,ARC,76,1,15,23.00000046,0.6521739,65.21739,7,0.30434782,0.412
76-5,nonriser,6.5,9,R,ARC,76,1,15,23.00000046,0.6521739,65.21739,7,0.30434782,0.412
77-12,riser,16,14,L,ARC,77,1,18,22.99999987,0.7826087,78.26087,0,0,0.575
77-12,riser,16,18,R,ARC,77,1,18,22.99999987,0.7826087,78.26087,0,0,0.575
78-9,nonriser,4,5,L,ARC,78,1,0,0,0.1176471,11.76471,0,0,0.947
78-9,nonriser,4,3,R,ARC,78,1,0,0,0.1176471,11.76471,0,0,0.947
75-10,nonriser,17,20,L,ARC,75,2,0,0,0,0,0,0,0.484
75-10,nonriser,17,14,R,ARC,75,2,0,0,0,0,0,0,0.484
76-11,riser,24,35,L,ARC,76,2,30,60.99999736,0.4918033,49.18033,2,0.032786887,0.489
76-11,riser,24,13,R,ARC,76,2,30,60.99999736,0.4918033,49.18033,2,0.032786887,0.489
77-3,nonriser,9.5,5,L,ARC,77,2,3,12,0.25,25,0,0,0.319
77-3,nonriser,9.5,14,R,ARC,77,2,3,12,0.25,25,0,0,0.319
78-5,riser,19,19,R,ARC,78,2,5,7.00000014,0.7142857,71.42857,0,0,0.585
75-3,riser,41.5,49,L,ARC,75,3,9,27.0000027,0.3333333,33.33333,0,0,0.55
75-3,riser,41.5,34,R,ARC,75,3,9,27.0000027,0.3333333,33.33333,0,0,0.55
76-8,nonriser,24.5,22,L,ARC,76,3,3,37.99999924,0.07894737,7.894737,8,0.21052632,0.333
76-8,nonriser,24.5,27,R,ARC,76,3,3,37.99999924,0.07894737,7.894737,8,0.21052632,0.333
77-6,riser,169,166,L,ARC,77,3,14,22.99999819,0.6086957,60.86957,0,0,0.462
77-6,riser,169,172,R,ARC,77,3,14,22.99999819,0.6086957,60.86957,0,0,0.462
78-12,nonriser,14.5,14,L,ARC,78,3,0,0,0,0,0,0,0.968
78-12,nonriser,14.5,15,R,ARC,78,3,0,0,0,0,0,0,0.968
75-7,nonriser,1,1,L,ARC,75,4,9,30.99999793,0.2903226,29.03226,4,0.129032267,0.622
75-7,nonriser,1,1,R,ARC,75,4,9,30.99999793,0.2903226,29.03226,4,0.129032267,0.622
76-6,riser,44,46,L,ARC,76,4,21,21,1,100,0,0,0.629
76-6,riser,44,42,R,ARC,76,4,21,21,1,100,0,0,0.629
77-9,nonriser,29,30,L,ARC,77,4,0,0,0,0,0,0,0.583
77-9,nonriser,29,28,R,ARC,77,4,0,0,0,0,0,0,0.583
78-2,riser,20.5,17,L,ARC,78,4,15,30,0.5,50,1,0.033333333,0.952
78-2,riser,20.5,24,R,ARC,78,4,15,30,0.5,50,1,0.033333333,0.952
75-5,riser,13.5,20,L,ARC,75,5,30,33.00000033,0.9090909,90.90909,0,0,0.64
75-5,riser,13.5,7,R,ARC,75,5,30,33.00000033,0.9090909,90.90909,0,0,0.64
76-4,nonriser,12.5,12,L,ARC,76,5,4,18.0000018,0.2222222,22.22222,1,0,0.455
76-4,nonriser,12.5,13,R,ARC,76,5,4,18.0000018,0.2222222,22.22222,1,0,0.455
75-9,nonriser,0,0,L,ARC,75,6,4,12.0000012,0.3333333,33.33333,0,0,0.321
75-9,nonriser,0,0,R,ARC,75,6,4,12.0000012,0.3333333,33.33333,0,0,0.321
76-3,riser,2.5,4,L,ARC,76,6,16,18.99999917,0.8421053,84.21053,0,0,0.632
76-3,riser,2.5,1,R,ARC,76,6,16,18.99999917,0.8421053,84.21053,0,0,0.632
